reaction,FC,p,q,enrichment,changed
EX_urea_e,-1.0,0.0,0.0,-1,1
EX_uri_e,269.2915345797317,0.0,0.0,1,1
EX_utp_e,-773.5149588218311,6.7025e-320,1.02207e-319,-1,1
EX_vacc_e,-22.87450232089237,5.577646320340156e-06,5.766080317648945e-06,-1,1
EX_xmp_e,314.92180012229016,0.0,0.0,1,1
EX_xolest_hs_e,732.2365273502965,6.283426277106529e-233,9.03537801125281e-233,1,1
EX_xtsn_e,73.80448228916498,0.0,0.0,1,1
EX_xylu__D_e,-195.70822009630547,2.0698386780497703e-47,2.3979201242424145e-47,-1,1
F1Ate,87.73466563389287,0.0,0.0,1,1
FACOAE161,239.31553457957133,0.0,0.0,1,1
FACOAE180,-367.82354536176825,0.0,0.0,-1,1
FACOAE181,-616.7451115072851,0.0,0.0,-1,1
FACOAE60,1.0,0.0,0.0,1,1
FACOAL150,4.8760423675736595,7.1128978872759734e-68,8.546649555653591e-68,1,1
FACOAL170,5.7739550325010605,8.875311720971046e-127,1.1686081698008348e-126,1,1
FACOAL1812,22.87450232089225,5.577646320340156e-06,5.766080317648945e-06,1,1
FACOAL184,17.862838599785217,0.0,0.0,1,1
FACOAL203,49.179268091403266,0.12051526066065596,0.12341924284525009,0,0
FACOAL2042,2.469788745111018,0.0,0.0,1,1
FACOAL224,23.18214378215657,2.798513019401821e-06,2.896972205470085e-06,1,1
FACOAL2251,25.971094042185033,4.853305934225328e-25,5.306496960003396e-25,1,1
FACOAL2252,50.48183874691856,1.1478066332583852e-34,1.2931842038919952e-34,1,1
FACOAL244_1,28.43935989205139,0.0,0.0,1,1
FACOAL245_1,29.7862317482668,0.0,0.0,1,1
FACOAL245_2,23.986292563531585,0.0,0.0,1,1
FADH2ETC,572.0278473025709,8.945526004050748e-86,1.1085303552535888e-85,1,1
FAEL205,-1.0,0.0,0.0,-1,1
FAOXC101C102m,19.72210064964465,1.8240952462376744e-32,2.0490937788132468e-32,1,1
FAOXC102C101m,32.67058713322545,2.165237789572251e-146,2.9076774295309047e-146,1,1
FAOXC102C103m,40.59500897521076,5.493946128318164e-32,6.138562008028328e-32,1,1
FAOXC102C81m,40.59500897521076,5.493946128318164e-32,6.138562008028328e-32,1,1
FAOXC102m,40.59500897521083,5.493946128318164e-32,6.138562008028328e-32,1,1
FAOXC103C102m,40.595008975210746,5.493946128318164e-32,6.138562008028328e-32,1,1
FAOXC10C10OHm,57.08303577256767,0.0,0.0,1,1
FAOXC122C101m,22.270914294907538,2.954780090542833e-124,3.859544853611726e-124,1,1
FAOXC122m,22.270914294907577,2.954780090542833e-124,3.859544853611726e-124,1,1
FAOXC123C102m,40.595008975210895,5.493946128318164e-32,6.138562008028328e-32,1,1
FAOXC123m,40.595008975210874,5.493946128318164e-32,6.138562008028328e-32,1,1
FAOXC12DCc,0.0,1.0,1.0,0,0
FAOXC142C122m,22.27091429490759,2.954780090542833e-124,3.859544853611726e-124,1,1
FAOXC143C123m,40.59500897521057,5.493946128318164e-32,6.138562008028328e-32,1,1
FAOXC150m,2.7144518221004006,7.464624605975604e-184,1.0407845364953836e-183,1,1
FAOXC16180m,14.283729901775404,0.0,0.0,1,1
FAOXC163C143m,25.1042950381373,5.984549534676681e-59,7.06509320065997e-59,1,1
FAOXC163C164Gm,22.27091429490739,2.954780090542833e-124,3.859544853611726e-124,1,1
FAOXC163GC142m,22.270914294907392,2.954780090542833e-124,3.859544853611726e-124,1,1
FAOXC163Gm,22.27091429490738,2.954780090542833e-124,3.859544853611726e-124,1,1
FAOXC164C143m,15.08384717188863,0.0007213629171338913,0.0007430556080889949,1,1
FAOXC164C165m,15.083847171888797,0.0007213629171338913,0.0007430556080889949,1,1
FAOXC164GC163m,22.27091429490741,2.954780090542833e-124,3.859544853611726e-124,1,1
FAOXC164m,15.083847171888854,0.0007213629171338913,0.0007430556080889949,1,1
FAOXC165C164m,15.083847171888786,0.0007213629171338913,0.0007430556080889949,1,1
FAOXC170m,3.9969018755462513,0.0,0.0,1,1
FAOXC180,-1.0,0.0,0.0,-1,1
FAOXC1811601m,8.036808021003525,6.969070055089962e-108,8.915281926661907e-108,1,1
FAOXC183806m,10.764273767073536,6.1174531068406495e-257,8.988191344557805e-257,1,1
FAOXC183C163Gm,7.674284662584475,5.568767486084818e-92,6.972352089778863e-92,1,1
FAOXC183C163m,25.104295038137362,5.984549534676681e-59,7.06509320065997e-59,1,1
FAOXC18480x,48.854739992000766,0.0,0.0,1,1
FAOXC184C163m,13.906154446802509,4.2252283893369713e-26,4.661970746888629e-26,1,1
FAOXC184C164m,15.083847171891884,0.0007213629171338913,0.0007430556080889949,1,1
FAOXC184m,13.906154446802493,4.2252283893369713e-26,4.661970746888629e-26,1,1
FAOXC18C18OHm,-1.0,0.0,0.0,-1,1
FAOXC200180m,111.95712477966717,0.0,0.0,1,1
FAOXC204C184m,13.906154446802503,4.2252283893369713e-26,4.661970746888629e-26,1,1
FAOXC2051843m,31.668685697333213,0.0,0.0,1,1
FAOXC2252053x,85.09364341230396,0.0,0.0,1,1
FAOXC225C204m,13.90615444680251,4.2252283893369713e-26,4.661970746888629e-26,1,1
FAOXC225C226m,13.906154446801912,4.2252283893369713e-26,4.661970746888629e-26,1,1
FAOXC225m,13.906154446802516,4.2252283893369713e-26,4.661970746888629e-26,1,1
FAOXC226C205m,13.923671911911773,1.8582877929472538e-74,2.251726760725421e-74,1,1
FAOXC226C225m,13.906154446802521,4.2252283893369713e-26,4.661970746888629e-26,1,1
FAOXC226C227m,13.923671911911761,1.8582877929472538e-74,2.251726760725421e-74,1,1
FAOXC226m,13.923671911911768,1.8582877929472538e-74,2.251726760725421e-74,1,1
FAOXC227C226m,13.923671911904128,1.8582877929472538e-74,2.251726760725421e-74,1,1
FAOXC2442246x,28.439359892051378,0.0,0.0,1,1
FAOXC2452253x,23.98629256353157,0.0,0.0,1,1
FAOXC2452256x,29.78623174826685,0.0,0.0,1,1
FAOXC3DC,-1.0,0.0,0.0,-1,1
FAOXC4020m,14.76804446222214,0.0,0.0,1,1
FAOXC4C4DCc,0.0,1.0,1.0,0,0
FAOXC5C5DCc,0.0,1.0,1.0,0,0
FAOXC5OHc,0.0,1.0,1.0,0,0
FAOXC61m,40.595008975210796,5.493946128318164e-32,6.138562008028328e-32,1,1
FAOXC81C61m,40.595008975210845,5.493946128318164e-32,6.138562008028328e-32,1,1
FAS180,22.756406536964494,0.0,0.0,1,1
FATP2t,-81.8113185601786,0.0,0.0,-1,1
FATP3t,-1.0,0.0,0.0,-1,1
FATP4t,1.0,2.954780090542833e-124,3.859544853611726e-124,1,1
FBA,622.3927918547455,7.246822006432893e-17,7.782618860441503e-17,1,1
FBA2,-1.0,0.0,0.0,-1,1
FBA4,123.84107192493023,7.79277593568231e-43,8.928817160454768e-43,1,1
FBA5,-1.0,0.0,0.0,-1,1
FBP26,-1.0,0.0,0.0,-1,1
FDH,-1.0,0.0,0.0,-1,1
FDPte,-456.36366074894977,0.0017162135084044633,0.0017654459891475766,-1,1
FOLABCCte,34.15780242698824,0.0,0.0,1,1
FOLOATPtc,50.290553342804884,1.2110195357376333e-203,1.7124398241021986e-203,1,1
FOLt2_1,-442.65562858301496,0.0,0.0,-1,1
FPGS2m,23.216518318501592,9.005752037838126e-104,1.1456874127959256e-103,1,1
FPGS3m,23.216518318501414,9.005752037838126e-104,1.1456874127959256e-103,1,1
FPGSm_1,23.216518318501592,9.005752037838126e-104,1.1456874127959256e-103,1,1
FTHFDH,-1.0,0.0,0.0,-1,1
FUCACNGAL14ACGLCGALGLUSIDEte,-8.285040199466664,0.0,0.0,-1,1
FUMm,1.0,8.575382754537087e-250,1.251144527759861e-249,1,1
FldAct,-1.0,0.0,0.0,-1,1
G14T18g,1.3705646829457805,0.0,0.0,1,1
G14T19g,1.3705646829458078,0.0,0.0,1,1
G14T20g,1.3705646829458078,0.0,0.0,1,1
G14T21g,1.3705646829458074,0.0,0.0,1,1
G14T2g,1.4917792462202533,0.0,0.0,1,1
G14T3g,1.491779246220248,0.0,0.0,1,1
G14T4g,1.4917792462202437,0.0,0.0,1,1
G14T5g,1.4917792462202493,0.0,0.0,1,1
G3PD1ir,-30.67594754619064,9.196035759637735e-208,1.3068050816327307e-207,-1,1
G3PD1irm,-245.00140000205488,4.101461018780163e-43,4.704074481809332e-43,-1,1
G3PD2m,223.3871274372885,0.0,0.0,1,1
G5SADrm,-1.0,0.0,0.0,-1,1
G6PDA,50.36226811473904,0.0,0.0,1,1
G6PDH2c,-1.0,0.0,0.0,-1,1
GA1tl,54.408816053157615,0.0,0.0,1,1
GAL3ST12,14.683784153352907,0.0,0.0,1,1
GALASE19ly,87.73466563389428,0.0,0.0,1,1
GALGALGALTHCRMte,2.039564690099194,0.0,0.0,1,1
GALGALGALTHCRMtg,-2.039564690099076,0.0,0.0,-1,1
GALGLUSIDEtg,-529.6806904629343,0.0,0.0,-1,1
GALGLUSIDEtg2,544.3169572432437,0.0,0.0,1,1
GALGLUSIDEtl,0.44369867587538103,6.607762098084648e-199,9.286475208269607e-199,0,0
GALGT1,2.2914138998269444,0.0,0.0,1,1
GALGT3,3.4548136816272956,0.0,0.0,1,1
GALKr,165.22496930776205,0.0,0.0,1,1
GALNTg,27.706455531518273,0.0,0.0,1,1
GALT,165.2249693077624,0.0,0.0,1,1
GALT2g,1.174008070531503,0.0,0.0,1,1
GALTg,1.1740080705315286,0.0,0.0,1,1
GALUi,-1.0,0.0,0.0,-1,1
GALt4,-31.77102710832147,5.958529888311548e-253,8.74349494480499e-253,-1,1
GALtly,196.99599641608702,0.0,0.0,1,1
GAPD,851.4590598955211,0.0,0.0,1,1
GBSIDEte,-9.348875950250637,3.5288451775889846e-235,5.093521812935044e-235,-1,1
GBSIDEtl,-7.743179919556347,0.0,0.0,-1,1
GCALDD,123.70971230672843,1.7159001860079139e-184,2.393915457074871e-184,1,1
GCALDDm,-1.0,0.0,0.0,-1,1
GCC2cm,59.14613372386997,1.0722063786469485e-16,1.1471858456851966e-16,1,1
GD1Atg,26.81148374867848,0.0,0.0,1,1
GD1Cte,2.291413899826948,0.0,0.0,1,1
GD1Ctg,-2.2914138998269293,0.0,0.0,-1,1
GD3tg,3.4548136816271664,0.0,0.0,1,1
GDA1tn,26.811483748678487,0.0,0.0,1,1
GDHm,1.0,0.0,0.0,1,1
GDRm,-1.0,6.607762098084648e-199,9.286475208269607e-199,-1,1
GGH_5THFe,115.35068860619089,0.0,0.0,1,1
GGNG,-1.0,0.0,0.0,-1,1
GK1,-0.5782685498314859,2.2025638207223236e-116,2.8510343872294035e-116,0,0
GLACO,221.60479104351373,0.0,0.0,1,1
GLACter,-221.60479104351387,0.0,0.0,-1,1
GLB1,54.852514729035306,0.0,0.0,1,1
GLBRAN,-1.0,0.0,0.0,-1,1
GLCAE2g,1.174008070531453,0.0,0.0,1,1
GLCAT6g,1.174008070531484,0.0,0.0,1,1
GLCAT7g,1.1740080705314926,0.0,0.0,1,1
GLCAT8g,1.1740080705314926,0.0,0.0,1,1
GLCAT9g,1.174008070531489,0.0,0.0,1,1
GLCATg,1.1740080705315024,0.0,0.0,1,1
GLCNACDASg,1.1740080705314535,0.0,0.0,1,1
GLCNACT1g,1.174008070531501,0.0,0.0,1,1
GLCNACT2g,1.1740080705314926,0.0,0.0,1,1
GLCNACT3g,1.1740080705314926,0.0,0.0,1,1
GLCNACT4g,1.1740080705315161,0.0,0.0,1,1
GLCNACT5g,1.1740080705315126,0.0,0.0,1,1
GLCNte,-227.7129908451269,0.0,0.0,-1,1
GLCRt1,-221.60479104351438,0.0,0.0,-1,1
GLCURter,221.60479104351387,0.0,0.0,1,1
GLCURtr,222.22445367174856,0.0,0.0,1,1
GLCt2_2,1.0,0.0,0.0,1,1
GLDBRAN,-1.0,0.0,0.0,-1,1
GLGNS1,-1.0,0.0,0.0,-1,1
GLNS,53.43786922025797,0.0,0.0,1,1
GLNt,-79.3995064996642,8.728508819758152e-307,1.3231127966542247e-306,-1,1
GLNtm,-1.0,0.0,0.0,-1,1
GLNtm_1,-1.0,0.0,0.0,-1,1
GLPASE1,-1.0,0.0,0.0,-1,1
GLPASE2,-1.0,0.0,0.0,-1,1
GLUDym,-1.0,0.0,0.0,-1,1
GLUN,38.726071141259524,0.0,0.0,1,1
GLUNm,-1.0,0.0,0.0,-1,1
GLUTACOAm,59.14613372386996,1.0722063786469485e-16,1.1471858456851966e-16,1,1
GLUTCONm,59.14613372386994,1.0722063786469485e-16,1.1471858456851966e-16,1,1
GLUTCONte,59.14613372387018,1.0722063786469485e-16,1.1471858456851966e-16,1,1
GLUTCONtm,59.14613372386995,1.0722063786469485e-16,1.1471858456851966e-16,1,1
GLUt2m,92.53990750281534,0.0,0.0,1,1
GLUt6,461.40275442476303,0.0,0.0,1,1
GLY3Pt,229.04544101190976,0.0,0.0,1,1
GLYALDDr,0.0,1.0,1.0,0,0
GLYALDtr,-249.2856987315484,1.094516839708168e-96,1.3779024394570737e-96,-1,1
GLYAMDTRc,1.0,4.9260933239281345e-304,7.437752748957283e-304,1,1
GLYBt4_2_r,1.0,5.227334381223139e-249,7.621812201338695e-249,1,1
GLYBtm,-1.0,0.0,0.0,-1,1
GLYC2P3Pc,-1.0,0.0,0.0,-1,1
GLYC2Pte,1.0,0.0,0.0,1,1
GLYC3Ptm,-1.0,0.0,0.0,-1,1
GLYC3tr,270.2078503273966,4.4129698613325653e-101,5.5892747415884314e-101,1,1
GLYCLTt,-123.66374411539421,1.083476044558057e-297,1.6316125474151844e-297,-1,1
GLYCLTtm,1.0,0.0,0.0,1,1
GLYCt,1.0,0.0,0.0,1,1
GLYCtm,-1.0,0.0,0.0,-1,1
GLYGLYCNc,0.9999999999999999,0.0,0.0,1,1
GLYLEUHYDROc,0.5544123530387256,2.601190983860239e-51,3.022649776181898e-51,0,0
GLYSNAT5tc,-283.8627165060293,0.0,0.0,-1,1
GLYt7_211_r,-160.08637153965358,0.0,0.0,-1,1
GLYtm,1.0,0.0,0.0,1,1
GM1tg,26.81148374867883,0.0,0.0,1,1
GMAND,8.285040199466662,0.0,0.0,1,1
GMPR,-71.32300719369702,0.0,0.0,-1,1
GND,23.58430362782079,0.0,0.0,1,1
GNDc,17.9593785690784,0.0,0.0,1,1
GNDer,50.406934754013015,0.0,0.0,1,1
GNK,227.7129908451888,0.0,0.0,1,1
GPAM_hs_1,-1.0,0.0,0.0,-1,1
GQ1Bte,3.454813681627228,0.0,0.0,1,1
GQ1Btg,-3.4548136816271326,0.0,0.0,-1,1
GSNt2,-71.15844589797832,0.0,0.0,-1,1
GTHOm,-1.0,0.0,0.0,-1,1
GTHPe,-1.0,0.0,0.0,-1,1
GTHRDt,85.13789820642924,1.1400715982144689e-69,1.3734720828882972e-69,1,1
GTHRDt2,-579.4681454778344,0.0,0.0,-1,1
GUAPRT,-1.0,0.0,0.0,-1,1
GUAt,-1.0,0.0,0.0,-1,1
GUDACtr2,-1.0,4.9260933239281345e-304,7.437752748957283e-304,-1,1
H2O2t,940.8800131549975,0.0,0.0,1,1
H2O2ter,93.62167818154774,1.913210671452109e-237,2.7649990497371474e-237,1,1
H2O2tm,354.32288873957367,7.726636221692759e-146,1.0363898380353524e-145,1,1
H2O2tp,62.0725369807952,3.6066664818887265e-11,3.8056549774412086e-11,1,1
H2OGLYAQPt,249.64174014172121,0.0,0.0,1,1
H2Ot,-1.0,0.0,0.0,-1,1
H2Oter,122.57490585155898,3.301172138175878e-09,3.459447514663762e-09,1,1
H2Otg,298.2612106461994,0.0,0.0,1,1
H2Otly,339.13947810313454,0.0,0.0,1,1
H2Otn,791.63787106137,0.0,0.0,1,1
H2Otp,-35.84085978462706,4.27987202778611e-143,5.7306337828291265e-143,-1,1
HACD4m,-99.9904856452545,7.244723226071667e-282,1.081055904020447e-281,-1,1
HACD5m,-23.79396998786474,3.0414095020255734e-46,3.498764314360246e-46,-1,1
HC00900t2,880.1037001248769,0.0,0.0,1,1
HC00900t4,-879.5905049192231,4.805674702886574e-106,6.137464353436109e-106,-1,1
HC02149td,177.55191508256712,8.247170039460093e-80,1.0073046961448064e-79,1,1
HCO3_2NAt,608.7252036160975,0.0,0.0,1,1
HCO3_CLt,278.56725561512377,1.910529617359579e-174,2.6445509480339166e-174,1,1
HCO3_NAt,238.70751785738085,0.0,0.0,1,1
HCYSte,453.73006568856454,9.362959411907602e-124,1.2216027203142663e-123,1,1
HDCAt,22.932921571444638,0.0,0.0,1,1
HDCEAt,248.01019368960195,0.0,0.0,1,1
HDCECRNtr,208.27382064128935,0.0,0.0,1,1
HDD2CRNte,-60.58167603541477,1.4009782290842566e-250,2.045321269560031e-250,-1,1
HEXAHBl,54.408816053157494,0.0,0.0,1,1
HEXCt,9.489732178259434,0.0,0.0,1,1
HISDC,107.91603616935083,0.0,0.0,1,1
HISSNAT5tc,1.0,4.5084989476454025e-207,6.398889972075571e-207,1,1
HISTASE,107.91603616935049,0.0,0.0,1,1
HISt2m,-53.28981074339561,0.0,0.0,-1,1
HKYNH,98.98936726465286,0.0,0.0,1,1
HMGCOAR,-332.537308105448,0.0,0.0,-1,1
HMGCOARx,-1.0,0.0,0.0,-1,1
HMGCOAS,-331.5583423522177,0.0,0.0,-1,1
HMGCOAtx,-139.372258960115,0.0,0.0,-1,1
HMR_0156,-1.0,0.0,0.0,-1,1
HMR_0164,-1.0,0.0,0.0,-1,1
HMR_0165,-1.0,0.0,0.0,-1,1
HMR_0166,-1.0,0.0,0.0,-1,1
HMR_0168,-1.0,0.0,0.0,-1,1
HMR_0170,-1.0,0.0,0.0,-1,1
HMR_0171,-1.0,0.0,0.0,-1,1
HMR_0172,-1.0,0.0,0.0,-1,1
HMR_0176,-16.3133610531918,2.273588556073783e-85,2.800797496612631e-85,-1,1
HMR_0177,28.440429225240095,2.7251028162810716e-58,3.203950288609149e-58,1,1
HMR_0178,28.44042922524256,2.7251028162810716e-58,3.203950288609149e-58,1,1
HMR_0180,41.473729705437464,2.4224167161371645e-213,3.4466499463947876e-213,1,1
HMR_0182,43.821084467370824,0.0,0.0,1,1
HMR_0183,-1.0,0.0,0.0,-1,1
HMR_0184,-1.0,0.0,0.0,-1,1
HMR_0185,-1.0,0.0,0.0,-1,1
HMR_0191,12.770017835374825,0.0,0.0,1,1
HMR_0194,12.77001783537482,0.0,0.0,1,1
HMR_0203,18.945903795258346,0.0,0.0,1,1
HMR_0207,18.945903795258346,0.0,0.0,1,1
HMR_0208,17.6541653645045,0.0,0.0,1,1
HMR_0210,29.020716150724077,7.758325610986461e-118,1.009373995306912e-117,1,1
HMR_0211,46.771704749928844,3.622550883311272e-53,4.2309182072261425e-53,1,1
HMR_0215,15.656651325994694,0.0,0.0,1,1
HMR_0232,10.55979339053375,0.0,0.0,1,1
HMR_0235,10.55979339053375,0.0,0.0,1,1
HMR_0239,19.112638894501593,0.0,0.0,1,1
HMR_0240,17.234375064799277,0.0,0.0,1,1
HMR_0243,17.234375064799277,0.0,0.0,1,1
HMR_0244,39.938703372503895,0.0,0.0,1,1
HMR_0247,39.93870337250391,0.0,0.0,1,1
HMR_0253,6.64349991224679,0.0,0.0,1,1
HMR_0254,44.88370674580135,0.0,0.0,1,1
HMR_0257,44.88370674580135,0.0,0.0,1,1
HMR_0261,20.55891985798455,0.0,0.0,1,1
HMR_0270,12.891900237649544,0.0,0.0,1,1
HMR_0273,12.891900237649544,0.0,0.0,1,1
HMR_0277,13.156914639173248,0.0,0.0,1,1
HMR_0278,13.674337809139551,0.0,0.0,1,1
HMR_0279,5.835403235723541,0.0,0.0,1,1
HMR_0281,7.838934573416152,0.0,0.0,1,1
HMR_0287,22.29015276847648,0.0,0.0,1,1
HMR_0288,22.80345387168596,0.0,0.0,1,1
HMR_0291,22.80345387168594,0.0,0.0,1,1
HMR_0292,25.91016428289134,0.0,0.0,1,1
HMR_0296,16.247303510049836,2.762261538882274e-61,3.277864649294116e-61,1,1
HMR_0297,1.9154228751575642,1.4578519998015312e-84,1.7901392934962625e-84,1,1
HMR_0299,13.912856228211172,0.0,0.0,1,1
HMR_0300,32.99500571924448,0.0,0.0,1,1
HMR_0301,4.033738112452949,0.0,0.0,1,1
HMR_0303,28.96126760679185,0.0,0.0,1,1
HMR_0304,26.452363829368704,0.0,0.0,1,1
HMR_0305,5.417058374757244,0.0,0.0,1,1
HMR_0307,21.035305454611322,0.0,0.0,1,1
HMR_0308,20.708100693074673,0.0,0.0,1,1
HMR_0311,20.708100693074673,0.0,0.0,1,1
HMR_0317,17.59619236858729,0.0,0.0,1,1
HMR_0321,22.33069250952627,0.0,0.0,1,1
HMR_0322,20.762733257712444,4.7209757282453527e-135,6.29189273886358e-135,1,1
HMR_0323,5.5146626696919405,2.332572779609904e-16,2.4887282795001066e-16,1,1
HMR_0325,14.968510945160094,0.0,0.0,1,1
HMR_0326,8.499261574790948,0.0,0.0,1,1
HMR_0329,8.499261574790951,0.0,0.0,1,1
HMR_0343,9.489732178259432,0.0,0.0,1,1
HMR_0344,3.5562490946110916,0.0,0.0,1,1
HMR_0347,3.556249094611091,0.0,0.0,1,1
HMR_0359,31.316149619227936,0.0,0.0,1,1
HMR_0363,19.578670724300267,0.0,0.0,1,1
HMR_0367,9.068810459838755,0.0,0.0,1,1
HMR_0371,8.538158935197083,0.0,0.0,1,1
HMR_0375,45.14251218130866,0.0,0.0,1,1
HMR_0380,45.21720184524768,0.0,0.0,1,1
HMR_0381,9.99422228775286,0.0,0.0,1,1
HMR_0383,35.222979557494845,0.0,0.0,1,1
HMR_0384,25.994025870906757,2.954780090542833e-124,3.859544853611726e-124,1,1
HMR_0385,4.9610358619391794,2.321597219050034e-08,2.4141665689713764e-08,1,1
HMR_0387,20.67434889926172,0.0,0.0,1,1
HMR_0388,13.730685893161871,2.4519919833257585e-73,2.964869126308017e-73,1,1
HMR_0389,3.675409573076892,1.3433151993983066e-08,1.4006853169555264e-08,1,1
HMR_0391,9.770282868711162,0.0,0.0,1,1
HMR_0392,20.92457839745814,0.0,0.0,1,1
HMR_0395,20.92457839745814,0.0,0.0,1,1
HMR_0415,12.200131872039973,0.0,0.0,1,1
HMR_0419,4.449538157731749,0.0,0.0,1,1
HMR_0423,13.88615036928896,0.0,0.0,1,1
HMR_0427,21.26000878577556,0.0,0.0,1,1
HMR_0428,45.59971333898537,0.0,0.0,1,1
HMR_0429,11.394308584316612,0.0,0.0,1,1
HMR_0431,34.205404754669,0.0,0.0,1,1
HMR_0432,18.600781277737642,2.7065803535976155e-150,3.684224146801024e-150,1,1
HMR_0433,2.443676002166353,3.407327718086382e-22,3.697313055795861e-22,1,1
HMR_0435,15.743201383070515,0.0,0.0,1,1
HMR_0436,46.05328625650473,0.0,0.0,1,1
HMR_0437,4.039390909855241,4.944209857281109e-11,5.202641734277921e-11,1,1
HMR_0439,41.575922828591324,0.0,0.0,1,1
HMR_0467,-650.9474165844313,0.0,0.0,-1,1
HMR_0586,-0.656139161606457,1.269310553972161e-61,1.50779902762221e-61,0,0
HMR_0587,0.6561391616064441,1.269310553972161e-61,1.50779902762221e-61,0,0
HMR_0765,54.85251472903529,0.0,0.0,1,1
HMR_0769,-54.85251472903514,0.0,0.0,-1,1
HMR_0809,17.09205586980587,0.0,0.0,1,1
HMR_0810,15.938575381368794,0.0,0.0,1,1
HMR_0811,15.938575381368912,0.0,0.0,1,1
HMR_0812,17.092055869805815,0.0,0.0,1,1
HMR_0814,17.092055869805915,0.0,0.0,1,1
HMR_0817,17.21746071874908,0.0,0.0,1,1
HMR_0823,17.21746071874917,0.0,0.0,1,1
HMR_0837,4.691893434302787,0.0,0.0,1,1
HMR_0844,9.169468975205932,0.0,0.0,1,1
HMR_0859,8.285040199466694,0.0,0.0,1,1
HMR_0875,8.285040199466671,0.0,0.0,1,1
HMR_0876,8.285040199466724,0.0,0.0,1,1
HMR_0878,8.285040199466692,0.0,0.0,1,1
HMR_0960,-1.0,0.0,0.0,-1,1
HMR_0962,-1.0,0.0,0.0,-1,1
HMR_0963,-1.0,0.0,0.0,-1,1
HMR_1102,-1.0,0.0,0.0,-1,1
HMR_1127,-1.0,0.0,0.0,-1,1
HMR_1129,1.0,0.0,0.0,1,1
HMR_1135,1.0,0.0,0.0,1,1
HMR_1242,-1.0,0.0,0.0,-1,1
HMR_1243,1.0,0.0,0.0,1,1
HMR_1284,1.0,0.0,0.0,1,1
HMR_1317,-60.160812582539464,0.0,0.0,-1,1
HMR_1321,120.72237685060863,0.0,0.0,1,1
HMR_1329,-175.2573778633778,0.0,0.0,-1,1
HMR_1565,-1.0,0.0,0.0,-1,1
HMR_1701,-62.107052327179204,0.0,0.0,-1,1
HMR_1706,31.649942369996023,5.599003563551554e-19,6.04123797759794e-19,1,1
HMR_1897,40.49516649814673,0.0,0.0,1,1
HMR_1916,18.695215783994733,0.0,0.0,1,1
HMR_2041,50.40693475401302,0.0,0.0,1,1
HMR_2259,-1.0,0.0,0.0,-1,1
HMR_2260,-1.0,0.0,0.0,-1,1
HMR_2261,-1.0,0.0,0.0,-1,1
HMR_2262,-1.0,0.0,0.0,-1,1
HMR_2263,21.355473918379722,1.0946236062021009e-36,1.2411863518941806e-36,1,1
HMR_2264,21.355473918379694,1.0946236062021009e-36,1.2411863518941806e-36,1,1
HMR_2265,21.355473918379737,1.0946236062021009e-36,1.2411863518941806e-36,1,1
HMR_2266,21.355473918379715,1.0946236062021009e-36,1.2411863518941806e-36,1,1
HMR_2284,24.787645057700765,9.134976413736297e-126,1.2007314358261626e-125,1,1
HMR_2293,21.816421891275887,2.146349786144595e-70,2.5898384643542826e-70,1,1
HMR_2296,2.75225519574244,3.817701049123875e-111,4.911224163530994e-111,1,1
HMR_2342,11.110417760089469,1.774876169162964e-133,2.3477468635325667e-133,1,1
HMR_2343,11.110417760089401,1.774876169162964e-133,2.3477468635325667e-133,1,1
HMR_2344,11.110417760089398,1.774876169162964e-133,2.3477468635325667e-133,1,1
HMR_2345,11.110417760089394,1.774876169162964e-133,2.3477468635325667e-133,1,1
HMR_2361,-1.0,0.0,0.0,-1,1
HMR_2362,-1.0,0.0,0.0,-1,1
HMR_2363,-1.0,0.0,0.0,-1,1
HMR_2364,-1.0,0.0,0.0,-1,1
HMR_2365,-1.0,0.0,0.0,-1,1
HMR_2368,-1.0,0.0,0.0,-1,1
HMR_2374,-1.0,0.0,0.0,-1,1
HMR_2376,-1.0,0.0,0.0,-1,1
HMR_2393,-1.0,0.0,0.0,-1,1
HMR_2472,49.62724930809782,1.475594015696813e-309,2.23974091668266e-309,1,1
HMR_2484,-1.0,0.0,0.0,-1,1
HMR_2495,41.23904035877895,4.872295384883887e-05,5.032366295368371e-05,1,1
HMR_2530,12.77772450967654,1.907452160715277e-11,2.013616701399062e-11,1,1
HMR_2533,12.777724509676554,1.907452160715277e-11,2.013616701399062e-11,1,1
HMR_2535,12.77772450967659,1.907452160715277e-11,2.013616701399062e-11,1,1
HMR_2537,12.777724509676592,1.907452160715277e-11,2.013616701399062e-11,1,1
HMR_2585,20.667604574216504,0.0,0.0,1,1
HMR_2602,0.0,1.0,1.0,0,0
HMR_2608,0.0,1.0,1.0,0,0
HMR_2611,0.0,1.0,1.0,0,0
HMR_2613,-8.55098635337229,0.017090148468768534,0.017517593003940946,-1,1
HMR_2620,-3.5377896919300715,1.3878173223697225e-09,1.455020902164693e-09,-1,1
HMR_2621,3.537789691938765,1.3878173223697225e-09,1.455020902164693e-09,1,1
HMR_2622,3.5377896919292953,1.3878173223697225e-09,1.455020902164693e-09,1,1
HMR_2624,-216.26134363077213,0.0,0.0,-1,1
HMR_2633,0.0,1.0,1.0,0,0
HMR_2634,-28.670211208480378,0.0,0.0,-1,1
HMR_2635,-60.58167603608393,1.4009782290842566e-250,2.045321269560031e-250,-1,1
